Year,Heating Degree Days,Cooling Degree Days
2005,3377,777
2006,3557,922
2007,3506,828
2008,3566,918
2009,3538,894
2010,3624,674
2011,3818,736
2012,3411,917
2013,3362,892
2014,2774,1068
2015,2898,1068
2016,3031,928
2017,3187,1053
2018,3170,1002
2019,3548,840
2020,3214,1069
2021,3099.466,1032.15
2022,3070.012,1046.3
2023,3040.558,1060.45
2024,3011.104,1074.6
2025,2981.65,1088.75
2026,2952.196,1102.9
2027,2922.742,1117.05
2028,2893.288,1131.2
2029,2863.834,1145.35
2030,2834.38,1159.5
2031,2804.926,1173.65
2032,2775.472,1187.8
2033,2746.018,1201.95
2034,2716.564,1216.1
2035,2687.11,1230.25
2036,2657.656,1244.4
2037,2628.202,1258.55
2038,2598.748,1272.7
2039,2569.294,1286.85
2040,2539.84,1301
2041,2510.386,1315.15
2042,2480.932,1329.3
2043,2451.478,1343.45
2044,2422.024,1357.6
2045,2392.57,1371.75
2046,2363.116,1385.9
2047,2333.662,1400.05
2048,2304.208,1414.2
2049,2274.754,1428.35
2050,2245.3,1442.5
2051,2215.846,1456.65
2052,2186.392,1470.8
2053,2156.938,1484.95
2054,2127.484,1499.1
2055,2098.03,1513.25
2056,2068.576,1527.4
2057,2039.122,1541.55
2058,2009.668,1555.7
2059,1980.214,1569.85
2060,1950.76,1584
2061,1921.306,1598.15
2062,1891.852,1612.3
2063,1862.398,1626.45
2064,1832.944,1640.6
2065,1803.49,1654.75
2066,1774.036,1668.9
2067,1744.582,1683.05
2068,1715.128,1697.2
2069,1685.674,1711.35
2070,1656.22,1725.5
2071,1626.766,1739.65
2072,1597.312,1753.8
2073,1567.858,1767.95
2074,1538.404,1782.1
2075,1508.95,1796.25
2076,1479.496,1810.4
2077,1450.042,1824.55
2078,1420.588,1838.7
2079,1391.134,1852.85
2080,1361.68,1867
2081,1332.226,1881.15
2082,1302.772,1895.3
2083,1273.318,1909.45
2084,1243.864,1923.6
2085,1214.41,1937.75
2086,1184.956,1951.9
2087,1155.502,1966.05
2088,1126.048,1980.2
2089,1096.594,1994.35
2090,1067.14,2008.5
2091,1037.686,2022.65
2092,1008.232,2036.8
2093,978.778,2050.95
2094,949.324,2065.1
2095,919.87,2079.25
2096,890.416,2093.4
2097,860.962,2107.55
2098,831.508,2121.7
2099,802.054,2135.85